material,substance,weight_mg
ALUMINUM OXIDE,1344-28-1,0.00245
BARIUM OXIDE,1304-28-5,2.8236
CALCIUM OXIDE,1305-78-8,0.0076
TRICOBALT TETRAOXIDE,1308-06-1,0.0002
MAGNESIUM OXIDE,1309-48-4,0.0045
MANGANESE DIOXIDE,1313-13-9,0.0025
DIANTIMONY TRIOXIDE,1309-64-4,0.00365
STRONTIUM OXIDE,1314-11-0,0.0008
ANATASE,1317-70-0,1.4005
YTTRIUM OXIDE,1314-36-9,0.0385
ZINC OXIDE,1314-13-2,0.00765
ZIRCONIUM DIOXIDE,1314-23-4,0.002
SULPHUR TRIOXIDE,7446-11-9,0.00075
NICKEL,7440-02-0,0.2044
NICKEL,7440-02-0,0.114
TIN,7440-31-5,0.12835
COPPER OXIDE,1317-38-0,0.35175
