material,substance,weight_mg
aluminum oxide,1344-28-1,4.3718
silicon dioxide,14808-60-7,0.1366
magnesium oxide,1309-48-4,0.0455
copper,7440-50-8,1.6698
copper,7440-50-8,0.9510
epoxy,25085-99-8,0.0683
barium sulfate,,0.0668
pigment 1,,0.0008
pigment 2,,0.0008
naphtha,,0.0152
epoxy resin,25068-38-6,0.0759
nickel,7440-02-0,0.0797
nickel,7440-02-0,0.0085
chromium,7440-47-3,0.0021
tin,7440-31-5,0.0972
