material,substance,weight_mg
GaAs,1303-00-0,0.06889
Al,7429-90-5,0.003071
GaP,12063-98-8,0.002656
Au,7440-57-5,0.001909
In,7440-74-6,0.006474
Ag,7440-22-4,0.01275
epoxy,29690-82-2,0.00225
Fiber class,65997-17-3,0.3654
copper,7440-50-8,0.1218
Cu,7440-50-8,0.1596296296
Ni,7440-02-0,0.0305930185
Ag,7440-22-4,0.0239444444
Au,7440-57-5,0.0013329074
eavy aromatic solvent naphth,a64742-94-5,0.00255
Triglycidyl isocyanurate,2885-96-9,0.0051
Au,7440-57-5,0.05
Epidian,25068-38-6,0.4214
Tetrahydrophthalic Anhydride,85~43-8,0.1806
