material,substance,weight_mg
Calcium Zirconate,CaZrO3,0.89
Miscellaneous,,0.16
Electrode paste,Ni,0.06
Base Metal,Cu,0.01
Under layer,Ni,0.03
Finish plating,Sn,0.05
