material,substance,weight_mg
Carbon black,1333-86-4,0.139
LCP,,18.836
"Further Additives, not to declare",system,0.416
GF-Fibre,,8.31
Copper,7440-50-8,7.95
Zinc (metal),7440-66-6,4.05
Cobalt,7440-48-4,0.00002
Nickel,7440-02-0,0.00002
Gold,7440-57-5,0.006
Palladium,7440-05-3,0.008
Nickel,7440-02-0,0.002
Nickel,7440-02-0,0.583
Chromium,7440-47-3,35.131
Nickel,7440-02-0,17.103
Iron,7439-89-6,132.666
Nickel,7440-02-0,2.8
Tin,7440-31-5,5.6
