material,substance,weight_mg
Barium titanate(IV),12047-27-7,5.33
Nickel,7440-02-0,0.755
Nickel,7440-02-0,0.311
Copper,7440-50-8,0.04
Nickel,7440-02-0,0.024
Tin,7440-31-5,0.04
