material,substance,weight_mg
Copper,7440-50-8,0.020894
Gold,7440-57-5,0.000118
Palladium,7440-05-3,0.000603
Silver,7440-22-4,0.09
Epoxy,85954-11-6,0.03
Copper,7440-50-8,5.31834
Iron,7439-89-6,0.14248
Phosphorus,7723-14-0,0.00822
Zinc,7440-66-6,0.01096
Fused Silica,60676-86-0,10.590836
Carbon Black,1333-86-4,0.036105
Chlorine,7782-50-5,0.00012
Epoxy,85954-11-6,1.407979
Doped Silicon,7440-21-3,0.212404
