material,substance,weight_mg
Copper,7440-50-8,110
Zinc,7440-66-6,65.3
Lead,7439-92-1,3.58
Nickel,7440-02-0,1.6
Gold,7440-57-5,0.173
Tin,7440-31-5,2.62
