material,substance,weight_mg
Al2O3,1344-28-1,2.13120
SiO2,14808-60-7,0.04440
MgO,1309-48-4,0.04440
Ag,7440-22-4,0.02095
Pd,7440-05-3,0.00032
Ag,7440-22-4,0.00964
Ag,7440-22-4,0.00152
RuO2,12036-10-1,0.01092
Glass Frit( contain Pb,65997-18-4,0.00273
Ni,7440-02-0,0.10336
Sn,7440-31-5,0.05405
"Glass (Pb free) (contains Bismuth, Silicon & Boron)",65997-17-3,0.02137
Epoxy resin,25068-38-6,0.02824
Epoxy resin,25068-38-6,0.00034
