material,substance,weight_mg
"Glass, oxide",65997-17-3,0.00020
Silver,7440-22-4,0.00562
Aluminium oxide,1344-28-1,1.73908
Calcium oxide,1305-78-8,0.00362
Magnesium oxide,1309-48-4,0.02355
Silicon dioxide,14808-60-7,0.04529
Chromium,7440-47-3,0.00022
Copper,7440-50-8,0.00009
Nickel,7440-02-0,0.00027
Nickel,7440-02-0,0.07410
Carbon black,1333-86-4,0.00180
Epoxy resin,25068-38-6,0.01400
Silicon dioxide,60676-86-0,0.01192
Lead silicate [Glass],65997-18-4,0.00749
Lead silicate [Glass],65997-18-4,0.00480
Palladium,7440-05-3,0.00069
Ruthenium oxide,12036-10-1,0.00363
Silver,7440-22-4,0.00459
Tin,7440-31-5,0.07410
"Glass, oxide",65997-17-3,0.00037
Palladium,7440-05-3,0.00012
Silver,7440-22-4,0.02430
